qid,question,gold,pred,scorex,scorey
"5705e4fe75f01819005e7706","What is the name of the desert near the border of Nevada?","Mojave Desert","Mojave Desert",1.000000,1.000000
"5705e4fe75f01819005e7707","What is the name of the border to the south?","Mexico–United States border","Mexico–United States border",1.000000,1.000000
"5ad01c8877cf76001a686a64","What desert is to the south near Arizona?","","Colorado Desert",0.000000,0.000000
"5ad01c8877cf76001a686a65","What desert is to the south near Nevada?","","Mojave Desert",0.000000,0.000000
"5ad01c8877cf76001a686a66","What direction is the Colorado-Mexico border?","","south",0.000000,0.000000
"5705e63175f01819005e7720","The cities of Los Angeles and San Diego are a part of which state?","California","California",1.000000,1.000000
"5705e63175f01819005e7721","What is the population of Los Angeles?","3,792,621","3,792,621",1.000000,1.000000
"5705e63175f01819005e7722","Which city is the most populous in California?","Los Angeles","Los Angeles",1.000000,1.000000
"5705e63175f01819005e7723","What is the eighth most populous city in the nation?","San Diego","San Diego",1.000000,1.000000
"5705e63175f01819005e7724","In which cardinal direction from Los Angeles is San Diego?","south","south",1.000000,1.000000
"5ad01e4677cf76001a686aa6","What are two of the three major cities located in southern California?","","Los Angeles and San Diego",0.000000,0.000000
"5ad01e4677cf76001a686aa7","What city has a population of 3,792,261?","","Los Angeles",0.000000,0.000000
"5ad01e4677cf76001a686aa8","What city has a population of 1,307,204?","","San Diego",0.000000,0.000000
"5ad01e4677cf76001a686aa9","What second most populous city is north of Los Angeles?","","San Diego",0.000000,0.000000
"5705e99452bb891400689688","Orange, San Diego, Riverside and San Bernardino make up four of the five counties. What is the name of the last county?","Los Angeles","Los Angeles",1.000000,1.000000
"5705e99452bb891400689689","What country are all the counties in?","United States","United States",1.000000,1.000000
"5705e99452bb89140068968a","What are Los Angeles, Orange, San Diego, San Bernardino and Riverside?","counties","the five most populous in the state",1.000000,1.000000
"5705e99452bb89140068968b","What is the lowest ranking one of the counties could have in terms of most populous counties in the United States?","15","San Bernardino",0.000000,0.000000
"5705e99452bb89140068968c","What is the smallest geographical region discussed?","counties","San Bernardino",0.000000,0.000000
"5ad01f0f77cf76001a686ac2","What are the five most populous counties in the United States?","","Los Angeles, Orange, San Diego, San Bernardino, and Riverside",0.000000,0.000000
"5ad01f0f77cf76001a686ac3","How many populous counties are in the United States?","","15",0.000000,0.000000
"5ad01f0f77cf76001a686ac4","What county are Los Angeles, Orange, San Diego, San Bernardino, and Riverside located in?","","the five most populous in the state",0.000000,0.000000
"5705eb3375f01819005e7764","What is the name given to the district that is associated with the motion picture industry?","Hollywood","Hollywood",1.000000,1.000000
"5705eb3375f01819005e7765","Which city does the Hollywood district belong to?","Los Angeles","Los Angeles",1.000000,1.000000
"5705eb3375f01819005e7766","Which company owns ABC?","The Walt Disney Company","Walt Disney Company",1.000000,1.000000
"5705eb3375f01819005e7767","Other than the motion picture and television industry, what other major industry is centered in Los Angeles?","music","music",1.000000,1.000000
"5705eb3375f01819005e7768","Other than Universal and Warner Brothers, what other company runs a major record company?","Sony","Sony",1.000000,1.000000
"5ad0206677cf76001a686afa","What company owns ACB?","","Walt Disney Company",0.000000,0.000000
"5ad0206677cf76001a686afb","What three industries are centered in Hollywood?","","motion picture, television, and music",0.000000,0.000000
"5ad0206677cf76001a686afc","Where is Los Angeles a district of?","","Hollywood",0.000000,0.000000
"5ad0206677cf76001a686afd","What major companies are headquartered in Los Angeles? ","","Walt Disney Company (which also owns ABC), Sony Pictures, Universal, MGM, Paramount Pictures, 20th Century Fox, and Warner Brothers",0.000000,0.000000
"5705ec1675f01819005e776e","Other than surf, what other culture is southern California home to?","skateboard","skateboard",1.000000,1.000000
"5705ec1675f01819005e776f","What is the name of the professional skateboarder that lives in southern California?","Tony Hawk","Tony Hawk",1.000000,1.000000
"5705ec1675f01819005e7770","What famous snowbaorder lives in southern California?","Shaun White","Shaun White",1.000000,1.000000
"5705ec1675f01819005e7771","Southern California is second to which island in terms of famous serf breaks?","Oahu","Oahu",1.000000,1.000000
"5705ec1675f01819005e7772","What is the shortened name of the annual yacht race that takes place?","Transpac","Transpac",1.000000,1.000000
"5ad0220a77cf76001a686b2a","Where are No Fear and RCVA headquartered?","","Southern California",0.000000,0.000000
"5ad0220a77cf76001a686b2b","Who are Rob Curran and Tim Machado?","","professional surfers",0.000000,0.000000
"5ad0220a77cf76001a686b2c","Where does professional surfer Tony Hawk live?","","Southern California",0.000000,0.000000
"5ad0220a77cf76001a686b2d","What famous surfing spots is Oahu second to?","","Trestles, Rincon, The Wedge, Huntington Beach, and Malibu",0.000000,0.000000
"5ad0220a77cf76001a686b2e","What was held at the San Diego Yacht Club from 1985 to 1998?","","America's Cup",0.000000,0.000000
"5705eccb52bb8914006896b8","What is the name of the desert city?","Palm Springs","Palm Springs",1.000000,1.000000
"5705eccb52bb8914006896b9","Other than the desert city why do many locals and tourists frequent southern California?","beaches","popular beaches",0.000000,0.666667
"5705eccb52bb8914006896ba","Which region of California is Palm Springs located in?","southern","southern California",0.000000,0.666667
"5705eccb52bb8914006896bb","Other than for its resort feel, what is Palm Springs popular for?","open spaces","nearby open spaces",1.000000,1.000000
"5ad0228a77cf76001a686b58","Who visits Palm Springs for the beaches?","","locals and tourists",0.000000,0.000000
"5ad0228a77cf76001a686b59","What is the desert of southern California popular for?","","beaches",0.000000,0.000000
"5ad0228a77cf76001a686b5a","Which coast is the desert on?","","southern California coast",0.000000,0.000000
"5705edcd52bb8914006896ca","Geographically speaking, where is California's north - south midway point in terms of latitude?","37° 9' 58.23"","37° 9' 58.23"",1.000000,1.000000
"5705edcd52bb8914006896cb","How many miles south of San Jose is the north - south midway point located?","11","11",1.000000,1.000000
"5705edcd52bb8914006896cc","The term "southern" California usually refers to how many of the southern-most counties of the state?","ten","ten",1.000000,1.000000
"5705edcd52bb8914006896cd","Other than Point Conception, what landmark is used in the other definition of southern California?","Tehachapi Mountains","Tehachapi Mountains",1.000000,1.000000
"5705edcd52bb8914006896ce","Point Conception is an example of a landmark among what boundary of southern California?","northern","Tehachapi Mountains",1.000000,1.000000
"5ad0297e77cf76001a686c3a","What lies at 37° 8' 59.23" latitude?","","California's north-south midway point",0.000000,0.000000
"5ad0297e77cf76001a686c3b","What is around 18 miles south of San Jose?","","midway point",0.000000,0.000000
"5ad0297e77cf76001a686c3c","What lies at 35° 48′ 27″ north latitude?","","county lines",0.000000,0.000000
"5ad0297e77cf76001a686c3d","What uses Point Tehachapi and the Conception Mountains as the northern boundary?","","southern California",0.000000,0.000000
"5705eee952bb8914006896de","Which country used to rule California?","Mexico","Mexico",1.000000,1.000000
"5705eee952bb8914006896df","Los Angeles is in the lower part of what?","Alta California","Alta California",1.000000,1.000000
"5705eee952bb8914006896e0","Which Californio is located in the upper part?","Monterey","Monterey",1.000000,1.000000
"5705eee952bb8914006896e1","What was the name of the legislation passed in 1850?","the Missouri Compromise","the Compromise of 1850",1.000000,1.000000
"5705eee952bb8914006896e2","The legislation allowed California to be admitted to the Union as what kind of state?","free","free",1.000000,1.000000
"5ad02cde77cf76001a686cc6","What country did California once rule?","","Mexico",0.000000,0.000000
"5ad02cde77cf76001a686cc7","Who were there disputes between when California ruled Mexico?","","Californios of Monterey in the upper part and Los Angeles in the lower part of Alta California",0.000000,0.000000
"5ad02cde77cf76001a686cc8","What line is at 30 degrees, 36 minutes?","","line of the Missouri Compromise",0.000000,0.000000
"5ad02cde77cf76001a686cc9","What was passed in 1805?","","Compromise",0.000000,0.000000
"5705f09e75f01819005e77a4","Other than land laws, what else were the Californios dissatisfied with?","inequitable taxes","inequitable taxes",1.000000,1.000000
"5705f09e75f01819005e77a5","What was the name given to the regions in which the pro - slavery southerners lived?","Cow Counties","Cow Counties",1.000000,1.000000
"5705f09e75f01819005e77a6","How many times did southern California attempt to achieve a separate statehood?","three","three",1.000000,1.000000
"5705f09e75f01819005e77a7","What was the percentage of people that voted in favor of the Pico Act of 1859?","75","75%",1.000000,1.000000
"5705f09e75f01819005e77a8","Which Senator was a strong advocate for the Pico Act?","Milton Latham","Milton Latham",1.000000,1.000000
"5ad02e5d77cf76001a686d3a","Who attempted to achieve a separate statehood in 1805?","","Californios",0.000000,0.000000
"5ad02e5d77cf76001a686d3b","What was passed in 1895?","","Pico Act of 1859",0.000000,0.000000
"5ad02e5d77cf76001a686d3c","Who was the governor of California in 1895?","","John B. Weller",0.000000,0.000000
"5ad02e5d77cf76001a686d3d","Who was elected in 1859?","","Abraham Lincoln",0.000000,0.000000
"5ad02e5d77cf76001a686d3e","What title did Latham Milton hold?","","Senator",0.000000,0.000000
"5705f13d52bb8914006896f0","Which newspaper defined southern California?","Los Angeles Times","the Los Angeles Times",1.000000,1.000000
"5705f13d52bb8914006896f1","In which year did the newspaper define southern California?","1900","1900",1.000000,1.000000
"5705f13d52bb8914006896f2","In which year did the newspaper change its previous definition?","1999","1900",0.000000,0.000000
"5705f13d52bb8914006896f3","What was the newer county added to the list?","Imperial","Imperial",1.000000,1.000000
"5705f13d52bb8914006896f4","How many counties initially made up the definition of southern California?","seven","seven",1.000000,1.000000
"5ad02ee077cf76001a686d58","How did the Los Angeles Times define southern California in 1909?","","\"the seven counties of Los Angeles, San Bernardino, Orange, Riverside, San Diego, Ventura and Santa Barbara.\"",0.000000,0.000000
"5ad02ee077cf76001a686d59","What did the Los Angeles Times add to the definition of southern California in 1990?","","Imperial",0.000000,0.000000
"5ad02ee077cf76001a686d5a","What did the California Times define twice?","","southern California",0.000000,0.000000
"5705f36452bb891400689718","Which organizations most commonly divide and promote the state?","regional tourism groups","regional tourism groups",1.000000,1.000000
"5705f36452bb891400689719","Other than the Automobile Club of Southern California, what other AAA Auto Club chose to simplify the divide?","California State Automobile Association","California State Automobile Association",1.000000,1.000000
"5705f36452bb89140068971a","The two AAA clubs divided the state into a northern and southern California as opposed to what point of view?","three-region","three-region",1.000000,1.000000
"5705f36452bb89140068971b","Which mountain range influenced the split of the regions?","Tehachapis","Tehachapis",1.000000,1.000000
"5705f36452bb89140068971c","In the definition based off the mountain range, which region would the desert portions of north Los Angeles County be included in?","southern","southern California",1.000000,1.000000
"5ad02ff177cf76001a686da2","What type of club is the California Automobile State Association?","","AAA Auto Clubs",0.000000,0.000000
"5ad02ff177cf76001a686da3","What type of club is the Southern California Automobile Club?","","Automobile Club of Southern California",0.000000,0.000000
"5ad02ff177cf76001a686da4","What type of phrase is North of the Tehachapis?","","geographical",0.000000,0.000000
"5ad02ff177cf76001a686da5","What type of groups divides California into only north and central regions?","","regional tourism groups",0.000000,0.000000
"5705f7c875f01819005e77dc","Where does southern California's megalopolis standard in terms of population nationwide?","third","third",1.000000,1.000000
"5705f7c875f01819005e77dd","Although southern california consts of a heavily developed urban environment, how much of it has been left undeveloped?","vast areas","vast areas",1.000000,1.000000
"5705f7c875f01819005e77de","Southern Californian communities are well known to be large, spread - out, and what other characteristic?","suburban","suburban",1.000000,1.000000
"5705f7c875f01819005e77df","Outside of its use of automobiles, what else is southern California famous for using?","highways","highways",1.000000,1.000000
"5705f7c875f01819005e77e0","What kind of region can be found inside the urban area of southern California?","international metropolitan","international metropolitan region",1.000000,1.000000
"5ad0316a77cf76001a686de4","What are the second and third most populated megalopolis after Southern California?","","Great Lakes Megalopolis",0.000000,0.000000
"5ad0316a77cf76001a686de5","What are the dominant areas of Los Angeles?","","Los Angeles, Orange County, San Diego, and Riverside-San Bernardino",0.000000,0.000000
"5ad0316a77cf76001a686de6","What international metropolitan region is in the Northeastern megalopolis?","","San Diego–Tijuana",0.000000,0.000000
"5705fb7f52bb891400689750","What is the main gap to continued urbanization?","Camp Pendleton","Camp Pendleton",1.000000,1.000000
"5705fb7f52bb891400689751","Other than the San Diego metropolitan area, what other area are the communities along Interstates 15 and 215 connected with?","Inland Empire","Inland Empire",1.000000,1.000000
"5705fb7f52bb891400689752","Who considers Los Angeles County to be a separate metropolitan area?","United States Census Bureau","United States Census Bureau",1.000000,1.000000
"5705fb7f52bb891400689753","Other than L.A. which other county do many people commute to?","Orange","Orange",1.000000,1.000000
"5705fb7f52bb891400689754","Other than the 1980s, in which decade did most of San Bernardino and Riverside Counties develop?","1990s","1990s",1.000000,1.000000
"5ad0331877cf76001a686e16","What was developed in 1980?","","exurbs",0.000000,0.000000
"5ad0331877cf76001a686e17","What counties to most people commute to?","","L.A. and Orange Counties",0.000000,0.000000
"5ad0331877cf76001a686e18","What formed in the Coachella Valley north of Orange County?","","exurbs",0.000000,0.000000
"5ad0331877cf76001a686e19","What counties near Kern-Bakersfield County was population growth high?","","Santa Maria and San Luis Obispo",0.000000,0.000000
"5705fc3a52bb89140068976a","What kind of climate does southern California maintain?","Mediterranean","Mediterranean",1.000000,1.000000
"5705fc3a52bb89140068976b","Other than many sunny days, what characteristic is typical for the climate in souther California?","infrequent rain","infrequent rain",1.000000,1.000000
"5705fc3a52bb89140068976c","What is the low end of the temperature range in summer?","60's","90-60's",0.000000,0.000000
"5705fc3a52bb89140068976d","How frequent is snow in the Southwest of the state?","very rare","rare",0.000000,0.666667
"5705fc3a52bb89140068976e","What is the high end of the temperature range in winter?","70","70-50's",0.000000,0.000000
"5ad0381a77cf76001a686e30","What type of climate does California have?","","Mediterranean",0.000000,0.000000
"5ad0381a77cf76001a686e31","Where are summer temperature ranges 70-50s?","","Southern California",0.000000,0.000000
"5ad0381a77cf76001a686e32","Where are winter temperature ranges 90-60s?","","Southern California",0.000000,0.000000
"5ad0381a77cf76001a686e33","What is rare on the Southeast of the state?","","snow",0.000000,0.000000
"5705fd8475f01819005e7840","What term best describes southern California's collection of landscapes?","varied","geologic, topographic, and natural ecosystem",0.000000,0.571429
"5705fd8475f01819005e7841","The region spans starting at islands found in which body of water?","Pacific Ocean","Pacific Ocean",1.000000,1.000000
"5705fd8475f01819005e7842","What type of landscapes other than geologic and natural ecosystem landscapes can be found in southern California?","topographic","topographic",1.000000,1.000000
"5705fd8475f01819005e7843","The region spans which mountains other than the Transverse ranges?","Peninsular","Peninsular",1.000000,1.000000
"5705fd8475f01819005e7844","The mountain ranges tail off into what kind of geographical formation?","valleys","interior valleys",1.000000,1.000000
"5ad0394877cf76001a686e56","What types of collections does desert California have?","","geologic, topographic, and natural ecosystem landscapes",0.000000,0.000000
"5ad0394877cf76001a686e57","What ocean has the Transverse and Peninsular Ranges?","","Pacific",0.000000,0.000000
"5ad0394877cf76001a686e58","What ocean has large and small interior valleys?","","Pacific Ocean",0.000000,0.000000
"5ad0394877cf76001a686e59","What area has the most diversity of anywhere in the country?","","Southern California",0.000000,0.000000
"5705fec152bb89140068977a","How many earthquakes does southern California experience in a year?","10,000","10,000",1.000000,1.000000
"5705fec152bb89140068977b","Generally speaking, what size are the earthquakes that hit southern California?","small","small",1.000000,1.000000
"5705fec152bb89140068977c","What magnitude was the 1994 Northridge earthquake?","6.7","6.7",1.000000,1.000000
"5705fec152bb89140068977d","What kind of destruction did the 1994 earthquake cause the most of in US history?","property damage","property damage",1.000000,1.000000
"5705fec152bb89140068977e","How much was the 1994 earthquake estimated to have cost?","$20 billion","over $20 billion",1.000000,1.000000
"5ad03c7377cf76001a686ebc","What year was the Northridge earthquake that caused $20 million in damage?","","1994",0.000000,0.000000
"5ad03c7377cf76001a686ebd","What earthquake caused $20 million in damage?","","Northridge earthquake",0.000000,0.000000
"5ad03c7377cf76001a686ebe","How many earthquakes does the state of California have each year?","","10,000",0.000000,0.000000
"5ad03c7377cf76001a686ebf","How many earthquakes are greater than a 4.7 magnitude?","","15–20",0.000000,0.000000
"5705ffde52bb891400689784","Which fault can produce a magnitude earthquake of 8.0?","San Andreas","San Andreas Fault",1.000000,1.000000
"5705ffde52bb891400689785","What magnitude of earthquake can many faults produce?","6.7","6.7+",1.000000,1.000000
"5705ffde52bb891400689786","Other than the San Jacinto Fault, and the Elsinore Fault, name one other fault.","Puente Hills","Puente Hills Fault",1.000000,1.000000
"5705ffde52bb891400689787","Which organization released a California Earthquake forecast?","USGS","USGS",1.000000,1.000000
"5705ffde52bb891400689788","The earthquake forecast models what features of earthquakes in California?","occurrence","occurrence",1.000000,1.000000
"5ad03d2277cf76001a686ecc","What fault can produce a magnitude 8.7 event?","","San Andreas Fault",0.000000,0.000000
"5ad03d2277cf76001a686ecd","What faults other than the San Andreas can produce a magnitude 8.0 event? ","","the San Jacinto Fault, the Puente Hills Fault, and the Elsinore Fault Zone",0.000000,0.000000
"5ad03d2277cf76001a686ece","What did the UGSS release?","","a California Earthquake forecast",0.000000,0.000000
"5ad03d2277cf76001a686ecf","What does the UGSS California Earthquake forecast model?","","Earthquake occurrence in California",0.000000,0.000000
"570602fa52bb89140068979e","Southern California's distinctive regions are divided culturally, politically and what other trait?","economically","atmosphere",0.000000,0.000000
"570602fa52bb89140068979f","Outside of national recognition, what other kind of recognition do some of the cities get?","global","global",1.000000,1.000000
"570602fa52bb8914006897a0","Cities that anchor the regions are often the hub for what kind of activity?","economic","economic",1.000000,1.000000
"5ad0410977cf76001a686efe","What are regions anchored by that are recognized globally?","","a city",0.000000,0.000000
"5ad0410977cf76001a686eff","What are the globally recognized anchor cities known for?","","the hub of economic activity for its respective region and being home to many tourist destinations",0.000000,0.000000
"5ad0410977cf76001a686f00","How is California divided?","","distinctive regions",0.000000,0.000000
"570603c475f01819005e7882","Southern California had a population of 22,680,010 according to the census from which year?","2010","2010",1.000000,1.000000
"570603c475f01819005e7883","What does southern California have a reputation for?","high growth rates","high growth rates",1.000000,1.000000
"570603c475f01819005e7884","What is the state average growth rate?","10.0%","10.0%",1.000000,1.000000
"570603c475f01819005e7885","What kind of economy did northern California start to grow in the 2000s?","tech-oriented","tech-oriented",1.000000,1.000000
"570603c475f01819005e7886","Which region began to grow and assert itself in the 2000s?","Greater Sacramento","Greater Sacramento",1.000000,1.000000
"5ad0421177cf76001a686f14","What census showed southern California as having a population of 26,860, 010?","","2010 United States Census",0.000000,0.000000
"5ad0421177cf76001a686f15","How much did southern California grow in the year 2000?","","10.0%",0.000000,0.000000
"5ad0421177cf76001a686f16","What economy started growing in the Greater Bay Region?","","tech-oriented economy",0.000000,0.000000
"5ad0421177cf76001a686f17","What city is in the Greater Bay Region?","","Sacramento",0.000000,0.000000
"5706074552bb8914006897d4","What is the name associated with the eight areas that make up a part of southern California?","Metropolitan Statistical Areas","Metropolitan Statistical Areas",1.000000,1.000000
"5706074552bb8914006897d5","How many extended metropolitan areas are there?","two","two",1.000000,1.000000
"5706074552bb8914006897d6","Each of the extended metropolitan areas has a population that exceeds what number?","five million","five million",1.000000,1.000000
"5706074552bb8914006897d7","What does the El Centro metropolitan area and San Diego-Carslbad-San Marcos metropolitan area form?","Southern Border Region","Southern Border Region",1.000000,1.000000
"5706074552bb8914006897d8","What is the population of the Greater Los Angeles Area?","17,786,419","17,786,419",1.000000,1.000000
"5ad042cf77cf76001a686f24","What consists of one Metropolitan Statistical Area?","","Combined Statistical Area",0.000000,0.000000
"5ad042cf77cf76001a686f25","What consists of eight Combined Statistical Areas?","","Southern California",0.000000,0.000000
"5ad042cf77cf76001a686f26","What area has a population of 17,786,914?","","Greater Los Angeles Area",0.000000,0.000000
"5ad042cf77cf76001a686f27","What area has a population of 5,105,786?","","San Diego–Tijuana",0.000000,0.000000
"5ad042cf77cf76001a686f28","What areas are north of Greater Santa Barbara?","","Santa Barbara, San Luis Obispo, and Bakersfield metropolitan areas",0.000000,0.000000
"570607f575f01819005e78b4","What is the largest city in all of California?","Los Angeles","Los Angeles",1.000000,1.000000
"570607f575f01819005e78b5","What is the population of the second largest city in California?","1.3 million","1.3 million",1.000000,1.000000
"570607f575f01819005e78b6","How many cities in southern California have over 200,000 residents?","twelve","twelve",1.000000,1.000000
"570607f575f01819005e78b7","There are 34 cities in southern California that have a population exceeding what number?","100,000","100,000",1.000000,1.000000
"570607f575f01819005e78b8","Other than San Bernardino, which other developed southern Californian city is not in close proximity to the coast?","Riverside","Riverside",1.000000,1.000000
"5ad0440877cf76001a686f3e","What are the two largest cities in the United States?","","Los Angeles (at 3.7 million people) and San Diego",0.000000,0.000000
"5ad0440877cf76001a686f3f","Where are there 34 cities over 200,000 in population?","","southern California",0.000000,0.000000
"5ad0440877cf76001a686f40","Where are there 12 cities over 100,000 in population?","","southern California",0.000000,0.000000
"5ad0440877cf76001a686f41","What city has a population of 3.3 million people?","","San Diego",0.000000,0.000000
"5ad0440877cf76001a686f42","What city has a population of 1.7 million people?","","San Diego",0.000000,0.000000
"5706094b52bb8914006897de","What resource is the economy of southern California depedent on?","petroleum","petroleum",1.000000,1.000000
"5706094b52bb8914006897df","Southern California is most famous for tourism and what notably named district?","Hollywood","Hollywood",1.000000,1.000000
"5706094b52bb8914006897e0","The region was a leader in what event between 2001 - 2007?","the housing bubble","housing bubble",1.000000,1.000000
"5706094b52bb8914006897e1","Southern California's economy can be described as one of the largest in the United States and what other characteristic?","diverse","diverse",1.000000,1.000000
"5706094b52bb8914006897e2","What was the effect of the housing crash on the region?","heavily impacted","heavily impacted",1.000000,1.000000
"5ad044f077cf76001a686f58","Who does the largest economy in the United States belong to?","","Southern California",0.000000,0.000000
"5ad044f077cf76001a686f59","What took place during 2000-2017?","","housing bubble",0.000000,0.000000
"5ad044f077cf76001a686f5a","What is southern California's economy completely dependent upon?","","abundance of petroleum",0.000000,0.000000
"5ad044f077cf76001a686f5b","Where is southern Hollywood located?","","Southern California",0.000000,0.000000
"57060a1175f01819005e78d2","Motion pictures, petroleum and aircraft manufacturing have been major industries since which decade?","1920s","1920s",1.000000,1.000000
"57060a1175f01819005e78d3","What characteristic best describes the agricultural regions that could be found?","richest","cattle and citrus",0.000000,0.000000
"57060a1175f01819005e78d4","Which type of livestock was the argricultural region known for?","cattle","cattle",1.000000,1.000000
"57060a1175f01819005e78d5","Outside of livestock, what else was considered a major industry in the agriculture regions?","citrus","citrus",1.000000,1.000000
"57060a1175f01819005e78d6","What industry has managed to survive major military spending cutbacks?","aerospace","aerospace",1.000000,1.000000
"5ad0458b77cf76001a686f72","What have been major industries since 1902?","","motion pictures, petroleum and aircraft manufacturing",0.000000,0.000000
"5ad0458b77cf76001a686f73","What were major industries until suburbs were turned into farmlands?","","cattle and citrus",0.000000,0.000000
"5ad0458b77cf76001a686f74","What is a major factor even with aerospace cutbacks?","","military spending",0.000000,0.000000
"5ad0458b77cf76001a686f75","What year were farmlands turned into suburbs?","","1920s",0.000000,0.000000
"57060a6e52bb8914006897f8","What type of district is southern California home to many of?","business","major business",1.000000,1.000000
"57060a6e52bb8914006897f9","What does CBD stand for?","Central business districts","Central business districts",1.000000,1.000000
"57060a6e52bb8914006897fa","What is the only district in the CBD to not have "downtown" in it's name?","South Coast Metro","Riverside",0.000000,0.000000
"5ad0461477cf76001a686f7a","What does CDB stand for?","","CBD",0.000000,0.000000
"5ad0461477cf76001a686f7b","What does CDB include?","","Central business districts",0.000000,0.000000
"5ad0461477cf76001a686f7c","What does DCB stand for?","","CBD",0.000000,0.000000
"57060cc352bb89140068980e","Downtown Burbank is an example of what kind of district?","business","business",1.000000,1.000000
"57060cc352bb89140068980f","Downtown Santa Monica and Downtown Glendale are a part of which area?","Los Angeles Area","Los Angeles",0.000000,0.800000
"57060cc352bb891400689810","Warner Center is located in which area?","San Fernando Valley","San Fernando Valley",1.000000,1.000000
"57060cc352bb891400689811","Century City is an example of a district that belongs to which city?","Los Angeles","Los Angeles",1.000000,1.000000
"5ad0470477cf76001a686f80","What business districts are within the downtown Los Angeles area?","","Downtown Burbank, Downtown Santa Monica, Downtown Glendale and Downtown Long Beach",0.000000,0.000000
"5ad0470477cf76001a686f81","What main business district is in downtown Los Angeles itself?","","Los Angeles central business district",0.000000,0.000000
"5ad0470477cf76001a686f82","What additional business districts are in downtown Los Angeles itself?","","Century City, Westwood and Warner Center",0.000000,0.000000
"57060df252bb891400689820","The Sand Bernardino - Riverside area maintains what kind of district?","business","business districts",1.000000,1.000000
"57060df252bb891400689821","Other than San Bernardino, what is the name of the other city that maintains the districts including University Town?","Riverside","Riverside",1.000000,1.000000
"57060df252bb891400689822","Other than Downtown San Bernardino, and University Town, what is the name of another business district in the San Bernardino-Riverside area?","Hospitality Business/Financial Centre","Hospitality Business/Financial Centre",1.000000,1.000000
"5ad0475c77cf76001a686f86","What business districts does the San Bernardino area maintain?","","Downtown San Bernardino, Hospitality Business/Financial Centre, University Town",0.000000,0.000000
"5ad0475c77cf76001a686f87","What business districts does the Riverside area maintain?","","Downtown San Bernardino, Hospitality Business/Financial Centre, University Town",0.000000,0.000000
"57060eaf75f01819005e7910","Which county is developing its business center?","Orange","Orange County",1.000000,1.000000
"57060eaf75f01819005e7911","Where are international corporations headquartered?","University of California, Irvine","University of California, Irvine",1.000000,1.000000
