qid,question,gold,pred,scorex,scorey,score,null_odds
5728d63c4b864d1900164f1a,What was the principle shown in The Mark of Anarchy?,principle of nonviolent protest,nonviolent protest,1.0,1.0,0,-1.754786133766174
572807802ca10214002d9bfa,Le grand asks for a variance of what three terms?,"lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience","lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience",1.0,1.0,0,-2.499793767929077
5728d7c54b864d1900164f4d,How much literature has been written regarding civil disobedience?,voluminous literature,voluminous,1.0,1.0,0,-2.177524328231811
57280f974b864d1900164372,How is civil disobedience typically defined in connection of the citizen's?,to the state and its laws,laws,0.0,0.333333,0,-1.440696239471435
57280f974b864d1900164374,Constitutional impasse is distinct from what key term? ,Civil disobedience,Civil disobedience,1.0,1.0,0,-2.109153747558593
5728d9403acd2414000e001d,What type of person can not be attributed civil disobedience?,head of government,private citizen,0.0,0.0,0,-0.18888945877552002
572812e74b864d19001643cf,What was Thoreau's punishment for not paying his taxes?,imprisonment,Resign,0.0,0.0,0,-2.029530048370361
572812e74b864d19001643d0,Thoreau argues that usually majority rules but their views collectively are sometimes?,not necessarily right,The majority may be powerful but it is not necessarily right,0.0,0.461538,0,-2.610344886779785
5728151b4b864d190016442a,Brownlee justifies civil disobedience toward what branch of the government?,legal system,governmental entities,0.0,0.0,0,-0.43494361639022805
5728151b4b864d190016442b,Browlee also applies that civil disobedience is okay regarding?,international organizations and foreign governments,opposition to the decisions of non-governmental agencies,0.0,0.6,0,-1.106625080108642
5728dc2d3acd2414000e0081,What reason is given that you should also protest public companies?,a larger challenge to the legal system,a larger challenge to the legal system that permits those decisions to be taken,0.0,0.956522,0,-0.7977917790412901
572818f54b864d190016446e,Stephen Eilmann demonstrates covert law breaking in Nazi Germany.   Citizen's illegally had been doing what? ,hiding a Jew in their house,hiding a Jew in their house,1.0,1.0,0,-1.830914378166198
5728dddc2ca10214002da9d5,What dilemma is a good example of moral civil disobedience?,the dilemma faced by German citizens,Hitler's secret police demanded to know if they were hiding a Jew in their house,0.0,0.903226,0,-1.049762964248657
5728e07e3acd2414000e00e9,What is a simple form of civil disobedience?,disobedience of laws,Non-revolutionary civil disobedience,1.0,1.0,0,-2.359597206115722
5728e07e3acd2414000e00ec,What type of civil disobedience is larger scale?,Revolutionary civil disobedience,Revolutionary,1.0,1.0,0,-2.22650146484375
572822233acd2414000df555,When did the earliest examples of civil disobedience as a whole occur?,during the Roman Empire,during the Roman Empire,1.0,1.0,0,-2.587612628936767
5728e3c33acd2414000e0134,What is the civil disobedience called where people refuse to be released?,jail solidarity,jail solidarity,1.0,1.0,0,-1.961733341217041
5728e3c33acd2414000e0135,How long did it take for Thoreau's disobedience to be known?,until after the end of the Mexican War,after the end of the Mexican War,1.0,1.0,0,-1.990505456924438
5728e5f43acd2414000e0172,What is one way to use pure speech to reach as much people as possible to protest?,broadcasting,criminalized behavior,0.0,0.0,0,-1.422025322914123
5728e715ff5b5019007da914,What is a type of disobedience against the federal government?,refusals to pay taxes,sit-ins,0.0,0.0,0,-1.275315880775451
5728e8212ca10214002daa6f,What reasons cause failure of the disobedience with authorities?,"lack of understanding of the legal ramifications,","lack of understanding of the legal ramifications, or due to a fear of seeming rude",1.0,1.0,0,-1.1549973487854
5728e8212ca10214002daa70,Why do some people purposely resist officers of the law?,use the arrest as an opportunity,"lack of understanding of the legal ramifications, or due to a fear of seeming rude",0.0,0.125,0,-1.641974925994873
5728eb1a3acd2414000e01c6,Why is the need for acceptance of punishment needed?,validity of the social contract,their belief in the validity of the social contract,1.0,1.0,0,-2.356560468673706
5728eef92ca10214002daab1,What is usually the goal of taking a plea bargain?,no jail time,solidarity,0.0,0.0,0,-1.839375257492065
5728f50baf94a219006a9e55,What way do some people perform civil disobedience in a constructive way?,defiant speech,"defiant speech, or a speech explaining their actions",0.0,0.44444399999999995,0,-0.496800690889358
5728f50baf94a219006a9e56,Why would one want to give a speech?,explaining their actions,mistreatment from government officials,0.0,0.0,0,-2.73595380783081
5728f50baf94a219006a9e58,Why would one want to give more punishment?,likelihood of repeating,"an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions",0.0,0.571429,0,-2.410896778106689
5728facd4b864d1900165170,What is the primary goal of pleading not guilty when arrested for Civil Disobedience?,acquittal and avoid imprisonment,win an acquittal and avoid imprisonment or a fine,1.0,1.0,0,-2.326694011688232
5728fb6a1d04691400778ef9,For what reason would someone avoid crimes while protesting?,avoiding attribution,"avoiding attribution, or by denying having committed the crime, or by fleeing the jurisdiction",0.0,0.28571399999999997,0,-1.027523279190063
